confesión	confessió
dicircho	tu
dicircho	vostè
veo	vel
chámao	convocatòria
chámao	trucada
chámao	ell
parécelle	tu
parécelle	vostè
parécelle	ella
tea	tela
prefires	tu
prefires	vostè
bicar	kiss
bicar	petó
lotaría	loteria
inspección	inspecció
máximo	màxim
cambiaches	tu
cambiaches	vostè
cambiaches	haven
cambiaches	canviades
cambiaches	canviat
cambiaches	canviada
cambiaches	canvia
cambiaches	canvi
almorzar	esmorzar
almorzar	dinar
liscou	ella
liscou	esquerra
liscou	esquerre
interesan	interès
interesan	interessat
interesan	interessats
peitos	ella
peitos	her
peitos	pits
peitos	mamella
despedido	acomiadat
despedido	disparat
baleiras	buit
baleiras	buida
furioso	furiós
furioso	furious
sacalo	aconsegueix
sacalo	aconseguir
sacalo	out
sacalo	take
vina	saw
vina	ella
vina	her
unida	junts
retiro	jubilació
retiro	take
peles	pells
peles	aparences
peles	pelatge
cranio	crani
fique	stand
destruíron	destruït
destruíron	destruïda
fitzgerald	fitzgerald
conquista	conquesta
veteranos	veterans
veteranos	veterinaris
valentía	coratge
valentía	valentia
defende	per
cecais	potser
faiche	tu
faiche	vostè
métete	ment
cheguemos	aconsegueix
cheguemos	aconseguir
atoparei	troba
atoparei	trobi
atoparei	trobeu
tesouro	tresor
véxote	veure
véxote	tu
véxote	vostè
destruído	destruït
destruído	destruïda
roubando	robar
roubando	robant
chamarme	convocatòria
chamarme	trucada
delicioso	boníssim
delicioso	deliciós
coñeciches	tu
coñeciches	vostè
coñeciches	conèixer
coñeciches	ell
pixamas	pijama
marion	marion
pénsao	about
pénsao	pensa
blue	blau
andrews	andrews
andrews	from
perdóeme	perdonar
chalana	vaixell
filliña	carta
filliña	benvolguts
filliña	noia
excusas	excuses
sagrada	sagrat
mineral	mineral
mineral	mineral
andabas	tu
andabas	vostè
andabas	estat
andabas	eren
andabas	tinguin
geoffrey	geoffrey
cantaba	cantar
cantaba	sing
tróuxenche	portat
tróuxenche	tu
tróuxenche	vostè
armadas	armat
armadas	armats
executado	executat
executado	executada
foches	tu
foches	vostè
anarquista	anarquista
escribo	escriu
revolucionarios	revolucionaris
irlandeses	irlandès
fodidos	són
dámo	donar
willett	willett
mátao	kill
mátao	mata
mátao	ell
ianqui	american
ianqui	americà
detido	detingut
shirley	shirley
artillería	artilleria
terroristas	terroristes
claude	claude
ping	ping
ambulancias	ambulàncies
fodendo	amb
barricada	barricada
biram	biram
punk	punk
jerry	jerry
guaraná	guaranà
cui	cui
zhong	zhong
private	privat
private	privats
profes	mestres
profes	professors
profes	docents
profes	professorat
asteroides	asteroides
asteroides	asteroide
mormont	mormont
pender	pender
desexaba	volia
desexaba	volien
solucionar	resoldre
solucionar	resol
ángeles	los
doenzas	malalties
hormona	hormona
doutores	doctors
doutores	metges
cambiando	canviant
jazz	jazz
tocamos	reprodueix
bendición	benedicció
finanzas	finances
incribles	increïble
incribles	increïble
má	bad
hans	hans
inspiración	inspiració
gráfica	gràfic
gráfica	diagrama
gráfica	gràfica
estudamos	estudi
sabia	sabia
sabia	savis
sabia	savi
sabia	sàvia
ministerio	ministeri
ministerio	despatx
ministerio	office
ministerio	oficina
ollade	mira
ollade	look
pensaría	pensa
nostalxia	nostàlgia
existía	fou
existía	hi
existía	allà
seguise	encara
seguise	fou
seguise	let
seguise	take
vendía	venut
vendía	venuda
decatámonos	adonar
poemas	poemes
sos	sola
sos	propi
sos	propis
collelo	take
collede	take
coñecedes	don
adoitan	habitualment
adoitan	normalment
ducias	dotzenes
ensaios	judicis
supremo	suprem
supremo	suprema
táboa	taula
táboa	quadre
errada	malament
inesperado	inesperat
madrugada	matí
illamento	aïllament
baratos	barat
peculiar	peculiar
peculiar	peculiars
aparellos	dispositius
corporal	cos
negociacións	negociacions
competición	competició
competición	competència
fainos	make
posicións	planteja
posicións	posicions
aplicar	aplica
positiva	positiu
positiva	positiva
positiva	positius
sufrín	patit
harvard	harvard
seriamente	seriosament
pides	tu
pides	vostè
ecuación	equació
axudas	auxili
axudas	ajuda
axudas	ajut
típica	típica
típica	típic
deixara	havien
deixara	esquerra
deixara	esquerre
deixara	let
rematan	final
amarelos	groc
xenocidio	genocidi
racial	racial
racial	cursa
sinxelos	simple
sinxelos	senzill
nixeria	nigèria
casco	casc
refiro	quins
refiro	quina
refiro	quin
refiro	què
refiro	mitjana
refiro	mean
africana	africà
africana	african
paisaxes	paisatges
recoñeceu	reconeguts
recoñeceu	reconegut
sábese	qualsevol
fragmentos	fragments
morrían	morí
existente	existent
existente	existents
electrónica	electronic
eficacia	eficàcia
eficacia	eficiència
debuxar	dibuixa
debuxar	dibuix
desesperada	desesperat
desesperada	desesperada
desesperada	fill
balea	balena
nathaniel	nathaniel
tráxico	tràgic
biolóxico	biològics
biolóxico	biològic
abren	oberta
abren	oberts
abren	open
abren	obre
abren	obert
variedade	varietat
caribe	carib
recuperación	recuperació
contaminación	contaminació
texas	texas
pedazos	peces
bases	bases
bici	bici
admito	admetre
minte	mentint
minte	tirada
minte	mentida
hail	calamarsa
exercicios	exercicis
lixeiramente	lleugerament
ventos	vents
atopen	troba
atopen	trobi
atopen	trobeu
cambialo	canvia
cambialo	canvi
fundación	fonament
fundación	fundació
construir	construir
construir	edifici
construir	edificació
farrapos	draps
traballaban	treballat
traballaban	treballats
traballaban	treballant
tiveran	tinguin
tiveran	havien
ainda	encara
usala	usa
usala	utilització
usala	ús
optimista	optimistes
optimista	optimista
normalidade	normalment
cadela	gos
cadela	puta
encantaríame	amor
virtude	virtut
perigos	perills
intencións	intencions
cursos	cursos
cursos	seminaris
lembrades	recorda
lembrades	recordeu
lembrades	tu
lembrades	vostè
willie	willie
dick	dick
herbas	herba
herbas	herbes
howard	howard
golpear	vaga
computadora	ordinador
contactar	contacte
arquitecto	arquitecte
catedral	catedral
comparar	compare
comparar	compara
comparar	comparar
manexar	mànec
española	castellà
española	espanyol
xogador	reproductor
xogador	jugador
computadores	ordinadors
durmía	dorm
durmía	dormir
durmía	acostat
durmía	dormit
bacteria	bacteri
bacteria	bacteris
élle	ella
élle	don
entren	aconsegueix
entren	aconseguir
parentes	familiars
parentes	parents
bailes	danses
bailes	balls
empezaron	començat
empezaron	iniciat
estadio	estadi
estadio	stadium
estadio	arena
ocuparme	take
intentos	intents
atópanse	són
fósemos	eren
obstáculos	obstacles
sinxelamente	simplement
sinxelamente	només
variedades	varietats
estupidez	estupidesa
sabiades	tu
sabiades	vostè
deitados	mentint
deitados	tirada
deitados	couches
razas	pluja
declarou	declarat
declarou	declarada
pulmón	pulmó
detectar	detectar
detectar	detecta
cambiará	will
cambiará	voluntat
cambiará	canvia
cambiará	canvi
catástrofe	catàstrofe
descuberta	descobert
descuberta	descobriment
voluntario	voluntària
voluntario	voluntari
ímoslle	let
ímoslle	aquí
ímoslle	aqui
ímoslle	ací
pódesme	can
pódesme	tu
pódesme	vostè
estarías	tu
estarías	vostè
ombro	espatlla
desesperado	desesperat
desesperado	desesperada
sentenza	frase
convén	per
moralmente	moralment
construímos	construït
construímos	construit
construímos	edificat
cambiamos	canviades
cambiamos	canviat
cambiamos	canviada
cambiamos	canvia
cambiamos	canvi
entendedes	tu
entendedes	vostè
entendedes	entendre
alimenta	llavor
hoxendía	avui
creador	creador
feixóns	mongetes
barras	barrots
barras	bars
barras	barres
eficiente	eficient
eficiente	eficients
concordo	acorden
concordo	convenen
nenez	infància
nenez	infantesa
imaxinaba	pensa
naturais	naturals
naturais	natural
valioso	valuós
valioso	valuosa
caendo	falling
caendo	caient
caendo	down
lavadora	rentat
lavadora	rentatge
lavadora	màquina
leña	fusta
deixará	tu
deixará	vostè
deixará	excedència
comezos	primerenc
xeada	gelada
cráteres	cràters
cráteres	bomba
fadas	fada
crearon	tinguin
crearon	creades
crearon	creats
crearon	creat
gobernamental	govern
viran	vistos
viran	vist
matemática	matemàtiques
matemática	matemàtica
pílulas	píndoles
pílulas	pastilles
contando	comptant
leccións	lliçons
leccións	ensenyaments
fotógrafo	fotògraf
fotógrafo	fotògrafa
rematara	fou
saíches	out
saíches	tu
saíches	vostè
paquetes	envasos
paquetes	paquets
detívose	aturat
produciu	produït
sudáfrica	sud
sudáfrica	àfrica
inmensa	immensa
inmensa	immens
quererías	com
quererías	like
quererías	tu
quererías	vostè
teñades	tu
teñades	vostè
teñades	tinguin
vistas	vista
vistas	visualitza
vistas	visualització
instrumentos	instruments
unir	uneix
protagonista	protagonista
vicio	vici
vicio	vice
esqueceu	oblidats
esqueceu	oblidat
cociñas	cuines
gravación	gravació
gravación	enregistrament
giovanni	giovanni
carriño	carreta
carriño	vagó
intentas	prova
intentas	tu
intentas	vostè
dáche	tu
dáche	vostè
gordos	fat
gordos	greix
televisor	televisió
seguiron	seguí
seguiron	seguit
firmes	atenció
misterioso	misteriós
misterioso	misteriosa
quendas	torns
obradoiros	tallers
conseguen	aconsegueix
conseguen	aconseguir
conseguen	can
descobre	out
levaría	take
danny	danny
ataca	atacs
ataca	atac
ulises	odisseu
miserable	miserable
órbita	òrbita
atractiva	atractiva
apuntar	punt
apuntar	aim
soviética	soviètic
soviética	soviètica
ofreceu	ofert
dificultade	dificultat
parlamento	parlament
espellos	miralls
rota	trencats
rota	trencat
anónimos	anònim
anónimos	anonymous
anónimos	anònims
vil	viles
caixeiro	caixer
caixeiro	màquina
alias	àlies
nacido	nascut
nacido	born
títulos	títols
custos	costos
custos	cost
vehículos	vehicles
trouxeches	tu
trouxeches	vostè
soña	somnis
soña	somiant
espíritos	esperits
matadoiro	escorxador
taberna	barra
taberna	bar
taberna	taverna
vapor	la
vapor	els
vapor	vapor
mátame	kill
mátame	mata
amarga	amarg
amarga	amarga
afogar	ofegar
afogar	ofegant
hurra	let
localizacións	ubicacions
localizacións	localitzacions
ditadura	dictadura
donas	ladies
baker	baker
baker	forner
baker	flequer
tolear	boig
encanto	encant
imaxine	imaginar
imaxine	imagineu
imaxine	imagina
louco	boig
louco	mad
gravata	empat
gravata	corbata
probe	prova
cuspir	escopint
cuspir	escup
volvese	esquena
volvese	vine
planear	pla
olle	mira
olle	look
xogas	reprodueix
regresou	esquena
mate	kill
mate	mata
desgraciado	infeliç
beiras	banks
beiras	bancs
aloxamento	habitatge
mudanzas	canvis
fartos	havien
fartos	prou
fartos	suficient
fartos	alimentats
fartos	amb
berro	ploren
berro	cry
berro	plorar
karl	karl
desorde	trastorn
comerciante	mercader
perfume	colònia
perfume	perfum
perfume	perfumeria
direicho	tu
direicho	vostè
roxa	roig
roxa	vermell
roxa	red
saiamos	aconsegueix
saiamos	aconseguir
saiamos	out
téxtil	tèxtil
téxtil	almàssera
téxtil	mill
téxtil	molí
castrón	fill
castrón	pistola
castrón	arma
fascistas	feixistes
fascistas	feixista
lenin	lenin
tócache	torn
arranxalo	arregla
arranxalo	aconsegueix
arranxalo	aconseguir
dicídelle	ell
protesta	protesta
bandeiras	banderes
bandeiras	indicadors
caralludo	bonic
caralludo	niça
mami	mami
mami	mama
cruza	creus
cruza	travessa
lémbraste	recorda
lémbraste	recordeu
lémbraste	tu
lémbraste	vostè
cómoda	calaixera
cómoda	còmodes
cartuchos	cartutxos
cartuchos	municions
cartuchos	munició
balón	pilota
tomaches	tu
tomaches	vostè
delegación	delegació
voltamos	esquena
dispararlle	disparar
revólver	pistola
revólver	arma
mato	matat
mato	kill
mato	mata
baleiros	buit
baleiros	buida
patrullas	patrulles
patrullas	cars
patrullas	cotxes
patrullas	automòbils
colliches	tu
colliches	vostè
sid	sid
insulto	insult
enxeñeiro	enginyer
subiu	marxat
subiu	anat
discursos	discursos
louie	louie
séntate	down
puideses	tu
puideses	vostè
puideses	podria
arrestar	arrest
arrestar	detenció
acusa	acusa
eddie	eddie
confirmar	confirmar
confirmar	confirma
bañeira	banyera
bentley	bentley
britton	britton
quizá	potser
coñecerte	tu
coñecerte	vostè
coñecerte	conèixer
chegarás	tu
chegarás	vostè
chegarás	will
chegarás	voluntat
dormes	dorm
dormes	dormir
dormes	tu
dormes	vostè
ruliña	amor
pó	pols
envíe	correu
gravadora	cinta
gravadora	enregistrador
gravadora	registrador
citas	cotitzacions
dourado	golden
telegrama	telegrama
remataches	tu
remataches	vostè
remataches	acabada
remataches	finalitzat
remataches	acabat
medallas	medalles
mova	mou
heiche	tu
heiche	vostè
marabillas	meravelles
prometeu	té
troco	canvia
troco	canvi
guindar	tirant
explorador	exploradora
explorador	explorer
explorador	explorador
cafés	cafès
cafés	cafés
lar	domicili
lar	llar
derrubar	down
mula	mula
oliva	oliva
cadaquén	tothom
cadaquén	cadascú
cadaquén	cadascuna
cadaquén	cadascun
banal	banal
banal	ordinari
banal	ordinària
castro	castro
benny	benny
radios	ràdios
barret	barrett
covardes	covards
nomeado	anomenat
bombardear	bomba
bombardear	desgranar
agasallos	presenta
agasallos	regals
preguntarche	ask
preguntarche	tu
preguntarche	vostè
cicatriz	cicatriu
guitarra	guitarra
sela	muntura
grégoire	grégoire
americanas	american
americanas	americà
americanas	americans
sheila	sheila
sheila	tània
foguete	coet
serpentes	serps
donovan	donovan
crente	creient
enganado	malament
cumpría	insistit
dong	dong
gatiño	kitty
dien	dien
phu	phu
empezas	tu
empezas	vostè
empezas	inici
empezas	comença
denson	denson
agulla	agulla
lyon	lyons
lyon	lyon
lyon	lió
esgotado	gastats
esgotado	out
acento	accent
dezaoito	divuit
bólas	pilotes
bólas	boles
orgasmo	orgasme
rancor	rancor
lewis	lewis
fición	ficció
samp	samp
narigudo	nas
crego	sacerdot
electos	elegits
electos	electes
yang	yang
etienne	etienne
horda	horda
peaches	préssecs
tate	tate
shawn	shawn
cálache	la
cálache	els
cálache	fuck
maiordomo	butler
maiordomo	majordom
jorah	jorah
picaso	picasso
catelyn	catelyn
gregor	gregor
rexente	regent
obedecer	obeeix
obedecer	obeir
maridos	marits
centros	centres
actualidade	avui
veterinario	veterinari
excepción	excepció
abandonada	abandonat
exclusivamente	exclusivament
síndrome	síndrome
relevante	rellevant
sinalar	punt
sinalar	out
vídeos	vídeos
continuo	continu
melodía	melodia
melodía	melody
orgánico	organic
orgánico	orgànic
orgánico	orgànica
incómoda	incòmode
vides	tu
vides	vostè
vides	vine
inventou	inventat
rápidos	ràpid
barata	barat
xudicial	jurídic
xudicial	legal
xudicial	legals
xudicial	judicial
garantir	garantia
tribunais	tribunals
manual	manual
violenta	violent
fórmula	fórmula
máxima	màxim
coidadosamente	atentament
