yra	—
kalbėjo	гаварыў
kalbėjo	гаварылі
kalbėjo	жа
vilkas	воўк
kavos	кавы
kavos	каву
kavos	кава
stiprus	моцны
pakvietė	запрасіла
pakvietė	запрасілі
pakvietė	запрасіў
pakvietė	прасіў
pakvietė	прыходзьце
pakvietė	запрошаныя
pakvietė	пакліканых
pakvietė	пакліканыя
pabėgėlių	лагеры
pabėgėlių	лагеру
geltona	жоўты
milijonus	мільёны
star	зорка
star	зорку
vėjas	ветру
vėjas	вецер
dvasia	дух
dvasia	духу
dvasia	духа
dievai	богі
dievai	багоў
vaizdai	відэа
revoliucija	рэвалюцыю
revoliucija	рэвалюцыі
biuras	офісе
biuras	прэзідэнта
biuras	працу
vasara	летам
vasara	лета
taika	мір
taika	супакой
taika	супакоі
junginiai	прыгатаваньня
narės	штатах
tikėjimą	вера
tikėjimą	веру
tikėjimą	веры
vaikystės	дзяцінства
tūkstančiai	тысячы
tūkstančiai	дзясяткаў
klasėje	класе
trumpa	кароткі
trumpa	апавяданняў
trumpa	кароткае
trumpa	малы
parduotuvės	магазіны
vardai	назваў
vardai	назвы
vardai	імёны
geriausi	найлепшы
reikalavo	яго
tradicijų	традыцыі
tradicijų	традыцыі
stovyklos	бежанцаў
glaudžiai	блізка
glaudžiai	блізкіх
glaudžiai	блізкія
glaudžiai	блізкі
glaudžiai	вочы
glaudžiai	заплюшчы
šaknis	каранёў
galutinė	таго
matas	бо
matas	плод
matas	плоду
matas	даваць
matas	насіць
kalifornija	каліфорніі
kalifornija	каліфорнія
alexander	аляксандра
alexander	аляксандар
tikslų	мэты
jomis	іх
jomis	ім
jomis	імі
kapo	пекла
šlovės	слава
šlovės	славы
šlovės	славе
šlovės	славу
milijonai	мільёны
jonava	вёсцы
jonava	вёску
jonava	мястэчка
žmonijos	чалавека
žmonijos	людзей
realybės	рэальнасць
skrydžio	палётаў
tikėjimas	вера
tikėjimas	веру
šuo	сабаку
šuo	сабака
egiptas	егіпце
egiptas	эгіпту
egiptas	эгіпет
egiptas	эгіпце
egiptas	эгіпецкай
dukrą	дачку
dukrą	дачка
dukrą	дачкі
civilizacija	цывілізацыі
civilizacija	цывілізацыяй
kaklo	шыі
paskirtis	прызначэння
paskirtis	мэта
tiesiai	проста
biblijos	бібліі
vyru	муж
vyru	мужа
vyru	чалавек
vyru	ён
chirurgas	хірург
kava	кавы
kava	каву
kava	кава
stogo	дах
sustabdyti	перастаць
sustabdyti	спыніць
kraujas	кроў
kraujas	крыві
šaknys	каранёў
facebook	фэйсбуку
facebook	facebook
raketos	ракеты
plaukimo	плавае
azija	азія
azija	азіі
burnos	рот
burnos	вусны
burnos	вуснаў
burnos	вуснах
valda	маючы
valda	і
valda	руцэ
visur	паўсюль
visur	куды
visur	ездзіла
visur	ўсякім
mane	мяне
mane	мне
mane	мною
vandenys	воды
deividas	давіда
deividas	давід
geriausios	найлепшы
erelis	арла
tikslai	мэты
ilga	даўно
ilga	доўга
tavo	ваш
tavo	вам
tavo	твой
tavo	тваё
tavo	твае
tavo	вашае
laukai	палі
artimųjų	сярэдзіне
vandenyse	воды
proto	вар
apaštalo	апостал
ugnis	агонь
ugnis	агню
ugnis	агнём
atrodė	на
atrodė	паглядзеўшы
atrodė	глянуўшы
atrodė	ўбачыў
krizė	крызіс
išmoko	навучыліся
išmoko	даведаліся
išmoko	даведаўся
galvijų	валоў
draugai	сяброў
draugai	сябры
draugai	сябрамі
daržovių	гародніны
daržovių	гародніну
gera	добры
gera	добра
gera	добрыя
gera	добрае
kalbėti	пра
kalbėti	гаварыць
kalbėti	гаварыць
parduotuvė	і
parduotuvė	краму
parduotuvė	зьбірайце
krizės	крызіс
kardo	меч
kardo	мяча
kardo	мячом
duonos	хлеб
duonos	хлебам
duonos	хлеба
palydovas	месяц
palydovas	месяца
sako	што
sako	кажучы
sako	казаў
sako	кажа
sako	скажа
sako	кажа
dokumentas	дакумент
dokumentas	праглядальнік
giliai	ў
giliai	глыбокае
giliai	глыбокі
giliai	глыбокія
kontrolė	кантраляваць
gėlių	кветку
miškais	лес
miškais	леса
kelius	сцежкі
kelius	сьцежкі
kelius	шляхі
tinkamai	свой
dirvožemio	неглыбокая
staiga	раптам
staiga	раптоўна
staiga	неспадзявана
staiga	вось
prisijungti	да
prisijungti	далучацца
prisijungti	далучыцца
prisijungti	разам
prisijungti	прыстаць
aukos	тэрарызму
sveikata	здароўе
sveikata	здароўя
faktai	фактамі
paprašė	сказалі
paprašė	сказаў
paprašė	кажучы
paprašė	спытаўся
draugų	сяброў
draugų	сябры
draugų	сябрамі
miršta	памрэ
augimas	рост
fizika	фізіка
gaisro	агонь
gaisro	агню
gaisro	агнём
vykdymo	ваджэння
vykdymo	выганяў
vykdymo	выганяе
draugystės	сяброўства
kampanijos	кампаніі
tęsti	ў
nusipirko	купіў
nusipirko	купілі
nusipirko	купіла
nusipirko	набыў
muitinės	звычаі
stovykla	бежанцаў
cheminė	хімічных
mokslą	навучанне
bob	боб
teniso	тэніс
pagaliau	нарэшце
pagaliau	тады
gyvas	жывымі
gyvas	жывы
gyvas	ажыў
įrenginys	прылады
dalykas	рэч
dalykas	што
uolos	камяні
akies	акуліста
akies	акуліст
akies	вока
akies	воку
akies	вушка
širdis	сэрца
širdis	сэрцы
kompiuteris	кампутары
kompiuteris	кампутара
kompiuteris	кампутар
stipri	моцны
genčiai	калена
genčiai	каленам
bandymas	тэст
bandymas	спакушаючы
bandymas	спакусіць
daržovės	гародніны
daržovės	гародніну
savininkai	гаспадары
daiktai	рэчы
simptomai	сімптомы
raketa	ракеты
jeruzalės	ерусаліму
jeruzalės	ерусалім
jeruzalės	ерусаліме
cia	вось
cia	тут
cia	сюды
manau	думаю
manau	думаць
manau	лічу
protėviai	бацькоў
protėviai	бацькі
protėviai	бацькам
skamba	гучыць
parduotas	за
parduotas	прадалі
parduotas	прадаць
parduotas	прадаюцца
parduotas	прадаў
parduotas	прадавалі
parduotas	меў
ekranas	экране
duona	хлеб
duona	хлебам
duona	хлеба
gyvūnas	жывёла
sielos	душу
sielos	душы
sielos	душою
sielos	душа
sielos	і
tiki	верыць
lengva	проста
lengva	лёгкімі
lengva	лёгка
lengva	выкарыстаньні
verslas	і
verslas	бізнэс
sėkmė	поспеху
sėkmė	поспех
vesti	ажаніцца
vesti	замуж
vesti	жаніцца
vesti	жэняцца
gyvatės	зьмеяў
prisikėlimo	уваскрасеньне
prisikėlimo	ўваскрасеньня
dalykai	рэчы
švietimas	адукацыю
švietimas	адукацыі
švietimas	адукацыя
kolekcijos	калекцыі
kolekcijos	калекцыямі
esu	я
queen	даму
queen	дамы
druska	соль
velnio	яблам
velnio	д
velnio	яблу
atnešė	прынесьлі
atnešė	на
stogas	дах
būsena	статус
šimtai	сто
šimtai	гадоў
šimtai	напішы
šimtai	сотні
kažkas	нехта
kažkas	чалавека
kažkas	хто
kažkas	кагосьці
kažkas	хтосьці
kažkas	камусьці
cheminis	хімічных
bitų	звар
bitų	лепш
lauką	стале
lauką	поле
lauką	месца
tinklai	сеткі
slėgio	ціск
cezario	цэзара
šaknų	каранёў
dingo	у
dingo	адыйшлі
platus	шырыня
būsenos	статус
skrydis	палётаў
arkliai	коней
nugalėti	перамог
nugalėti	зьбілі
nugalėti	біў
nugalėti	зьбіўшы
nugalėti	ўдарылі
mokestis	мытнікі
mokestis	мытні
mokestis	мытнікаў
mokestis	мытнікамі
mokestis	мытнік
mokestis	»
juodi	чорны
juodi	чорная
juodi	чорныя
juodi	чорным
metė	ў
metė	яго
metė	кінуў
metė	выгналі
metė	выкінулі
galvijai	валоў
kokie	што
kokie	тое
kipras	кіпру
kipras	кіпр
asmenybė	асобы
asmenybė	асоба
slėgis	ціск
talpa	магчымасць
gaisras	агонь
gaisras	агню
gaisras	агнём
gėrimai	е
branduolys	ядро
spausdinti	надрукаваць
senelis	дзядуля
avarijos	аварыі
rabinas	раббі
kūnai	цела
kūnai	целаў
kūnai	палеглі
kūnai	захістаюцца
kūnai	целы
parengti	рыхтавацца
parengti	падрыхтаваць
parengti	падрыхтуйце
parengti	пахаваньне
vėžys	раку
vėžys	рак
esperanto	эсперанта
skausmas	болю
skausmas	боль
ištekliai	рэсурсаў
nuosavybė	маёмасьць
stephen	стэфана
mirti	смерці
mirti	памерці
mirti	паміраюць
mirti	памрэ
vnt	кавалак
vnt	песня
vnt	кавалкам
laimės	шчасце
pasakyti	сказаць
juodai	чорны
juodai	чорная
juodai	чорныя
juodai	чорным
dažni	агульнага
dažni	аднолькавае
dažni	агульнае
vakarai	захаду
būtinas	трэба
java	java
tvarkyti	атрымаецца
tvarkyti	домам
tvarkyti	кіраваньне
tvarkyti	кіруйце
kalėjimą	турму
kalėjimą	вязьніцу
smėlis	пясок
kampanija	кампаніі
ataka	attack
karūna	вянок
gyvos	жыве
gyvos	жывога
gyvos	жывёлы
gyvos	жыву
gyvos	жыць
gyvos	жывуць
drabužius	адзенне
drabužius	шаты
drabužius	адзеньня
drabužius	адзеньне
dulkių	пыл
tarnautojas	слуга
tarnautojas	слугу
tarnautojas	служыцелем
tarnautojas	слугі
darbininkai	работнікаў
ekrano	экране
galutinis	таго
sunkiau	цяжэй
sunkiau	больш
tiesos	веры
tiesos	праўда
tiesos	праўды
tiesos	праўдзе
paslaptis	таямніца
paslaptis	таямніцу
paslaptis	тайну
paslaptis	тайны
paslaptis	тайна
degimo	і
degimo	ў
dangus	неба
dangus	небе
dangus	небе
dangus	блакітнае
dangus	неба
dangus	нябесныя
apranga	адзенне
apranga	шаты
apranga	адзеньня
apranga	адзеньне
durys	дзверы
durys	адчыняць
savybė	маёмасьць
siauras	вузкімі
siauras	цесную
lobis	скарб
gyvūno	жывёла
tremtyje	выгнанне
trumpi	кароткі
trumpi	апавяданняў
trumpi	кароткае
trumpi	малы
bitės	пчол
bitės	пчолы
bitės	пчолам
būklė	статус
siela	душу
siela	душы
siela	душою
siela	душа
islandija	востраў
siaura	вузкімі
siaura	цесную
pasakojimas	гісторыю
pasakojimas	гісторыя
pasakojimas	гісторыі
stiprūs	моцны
dovydas	давіда
dovydas	давід
kojas	ногі
kojas	перабілі
sprendžiant	аблічча
anglis	вугляроду
debesų	клаўд
debesų	воблака
debesų	воблаку
klientų	кліент
klientų	кліентаў
amerikiečiai	амерыканцаў
išlaiko	не
išlaiko	здаровымі
išlaiko	захоўвае
garsai	гучыць
firma	падмурак
atsakomybė	адказнасць
šeštasis	шосты
pastabos	каментары
išmokė	навучыла
išmokė	навучылі
išmokė	навучыў
išmokė	навучаў
žino	ведае
žino	ведаюць
samuel	самуэля
bibliotekų	бібліятэкай
bičių	пчол
bičių	пчолы
bičių	пчолам
versijų	версіі
drabužiai	адзенне
drabužiai	шаты
drabužiai	адзеньня
drabužiai	адзеньне
douglas	дугласа
sode	садзе
sode	гарод
sode	сад
sode	і
pasinaudojo	адважваўся
egzistuoti	існуюць
altoriaus	ахвярніка
altoriaus	ахвярніку
altoriaus	ахвярнік
žaibo	бліскавіца
likti	ў
likti	заставайцеся
likti	застаецца
likti	застаўся
įmonėse	кампаніі
įmonėse	кампаній
gyvi	жыву
gyvi	жыць
gyvi	жывуць
gyvi	жывымі
gyvi	жывы
gyvi	ажыў
kambarys	пакой
kambarys	пакоі
kambarys	зале
kambarys	месца
logika	лягічная
ateina	прыходзіць
debesys	клаўд
debesys	воблака
debesys	воблаку
greit	хутка
greit	неўзабаве
greit	адразу
greit	хутка
greit	рэстараны
greit	посьцяць
greit	посьціць
greit	посьцячыся
greit	хуткая
greit	хуткі
uždaryti	блізка
uždaryti	блізкіх
uždaryti	блізкія
uždaryti	блізкі
uždaryti	вочы
uždaryti	заплюшчы
palikuonių	насеньне
indėlis	ўнёсак
indėlis	мянялам
jordan	ярдану
faktas	што
faktas	самой
faktas	тое
dūmų	дым
dūmų	дыму
dūmų	дымам
mergaitė	дзяўчына
mergaitė	дзяўчыну
mergaitė	дзяўчынку
mergaitė	дзяўчынка
mergaitė	дзяўчыне
philip	філіп
philip	філіпа
philip	філіпу
elektra	электрычнасці
mintys	думкі
mintys	духа
berniukas	хлопчыка
berniukas	хлопчык
berniukas	хлопец
berniukas	хлопца
apibrėžia	вызначае
prižiūrėti	гадзіннік
prižiūrėti	глядзіце
prižiūrėti	чувайце
klaidingai	фальшывымі
klaidingai	фальшыва
klaidingai	фальшывыя
klaidingai	фальшывы
serga	і
serga	хворых
serga	хворы
serga	нямоглых
kviečiai	пшаніцу
kviečiai	пшаніцы
verta	колькасці
verta	гэта
verta	акупіцца
verta	даражэй
verta	сумленныя
verta	варты
verta	годны
diskusijos	з
bulvių	бульба
švino	вядзе
švino	вадзіць
švino	ўводзь
švino	сьмерць
momentas	момант
mokoma	навучыла
mokoma	навучылі
mokoma	навучыў
mokoma	навучаў
lietus	дождж
lietus	дажджу
išgelbėti	выбавіў
išgelbėti	вырваў
žinojo	ведала
žinojo	ведаў
žinojo	ведалі
žinojo	што
žinojo	ведаючы
minutę	хвіліну
pranašumą	перавага
paruošti	падрыхтаванае
paruošti	гатовы
paruošti	падрыхтаваў
paruošti	падрыхтаваны
paruošti	прыгатаваў
paruošti	падрыхтавалі
paruošti	на
draugo	сяброўка
draugo	сябар
draugo	сябра
gėlės	кветак
gėlės	кветкі
gėlės	лілеі
draugė	сяброўка
draugė	сябар
draugė	сябра
elgtis	паводзім
elgtis	паводзіць
sutrikimas	бязладзьдзя
gėlė	кветку
vakare	ўвечары
vakare	вечар
vakare	калі
vakare	і
cukrus	цукру
smegenys	мазгу
smegenys	мозга
smegenys	мозг
smegenys	мозгу
smegenys	мозг
derliaus	жніво
derliaus	жніва
derliaus	час
giminių	сваякамі
giminių	сваякоў
vestuvės	вясельле
greitas	хутка
greitas	рэстараны
greitas	посьцяць
greitas	посьціць
greitas	посьцячыся
greitas	хуткая
greitas	хуткі
akcija	ў
akcija	з
akcija	падзяліцца
akcija	частку
akcija	радасьць
akimis	вочы
akimis	вачах
akimis	вачэй
paveldėjimo	спадчыны
paveldėjimo	спадчыну
paveldėjimo	нашаю
šventyklą	бажніцу
šventyklą	сьвятыню
šventyklą	сьвятыні
šventyklą	бажніца
blogai	дрэнныя
niekur	ў
boston	бостане
boston	бостана
koledžas	каледжаў
koledžas	каледж
koledžas	каледжы
koledžas	выгады
dėžutė	паказу
kiaulės	сьвіняў
brothers	браты
brothers	братоў
birželis	чэрвеня
birželis	чэрвені
komentarai	каментары
elektroninių	татуіроўкі
vaikinas	хлопца
gold	золата
gold	золатам
persekiojimo	перасьлед
persekiojimo	перасьледваньне
miręs	мёртвых
apple	яблык
veikiančių	пасаду
veikiančių	ёй
veikiančių	бягу
dvasinis	духоўны
dvasinis	духоўныя
dvasinis	духоўнага
dvasinis	духоўным
dvasinis	духоўнае
pamokos	ўрокі
gausa	памножыцца
galaktikų	галактык
galaktikų	галактыкі
prisiminimai	дзяцінства
prisiminimai	успаміны
prisiminimai	памяць
diplomas	сьведчаньне
diplomas	сьведчаньня
koledžo	каледжаў
koledžo	каледж
koledžo	каледжы
koledžo	выгады
miego	сну
miego	спаць
miego	сон
dūmai	дым
dūmai	дыму
dūmai	дымам
eilutės	лініі
nebent	калі
nebent	ня
nebent	навернецеся
karštas	гарачы
tarnauja	паслугуе
tarnauja	служыць
aiški	чыстага
aiški	чыстыя
aiški	чысты
aiški	чыстае
lapas	начыньне
vandenis	воды
mokesčiai	у
mokesčiai	супраць
mokesčiai	вінавацяць
mokesčiai	падаткі
bulvės	бульба
blogio	зла
blogio	зло
blogio	благое
blogio	злога
gyvačių	зьмеяў
nelaisvėje	пастцы
istorijų	гісторыі
istorijų	апавяданняў
kaimynai	суседзяў
dienoraštis	дзённік
stebėjo	глядзеў
adamas	адам
adamas	адама
naikinimo	загубы
naikinimo	зьнішчэньне
naikinimo	загуба
naikinimo	загубу
angelas	анёл
angelas	анёла
gyva	жыву
gyva	жыць
gyva	жывуць
gyva	жывымі
gyva	жывы
gyva	ажыў
suaugusiems	дарослых
gerti	піць
gerti	п
ryte	раніцай
ryte	раніцы
ryte	ранку
ryte	раніца
atsargų	засталося
kieme	падворку
ausies	вуха
sniegas	снег
silpnas	слабое
silpnas	слабы
silpnas	веданьне
tvirtas	моцны
išgelbėjo	збаўлены
išgelbėjo	збаўленыя
ožkos	казлоў
ilgesnis	больш
ilgesnis	даўжэй
išminties	мудрасьці
išminties	мудрасьць
išminties	мудрасьцю
septintasis	сёмы
sparnus	крылы
sparnus	крылаў
noras	жаданне
noras	сцежкі
noras	дару
noras	і
baimė	страх
baimė	бойцеся
baimė	не
baimė	страхам
baimė	страху
vokalinių	асабовасць
nesutiko	падзякаваў
nesutiko	падзякавала
sunkus	абцяжэлі
sunkus	голад
dama	пані
aukas	тэрарызму
kortos	карткамі
kortos	карты
kortos	картаў
klausos	пачуўшы
klausos	слухаючы
gydytojai	дактары
gydytojai	дактароў
aplankyti	вас
aplankyti	прыйсьці
aplankyti	братоў
dega	спаліць
kalėjimas	турму
kalėjimas	вязьніцу
kalėjimas	вязьніцу
kalėjimas	вязьніцы
vakaro	ўвечары
vakaro	вечар
vakaro	калі
vakaro	і
obuolių	яблыкі
mėnesiai	месяцы
mėnesiai	месяцаў
vergai	слугі
vergai	слугамі
pakviesti	запрасіла
pakviesti	запрасілі
pakviesti	запрасіў
pakviesti	прасіў
pakviesti	прыходзьце
pakviesti	запрошаныя
pakviesti	пакліканых
pakviesti	пакліканыя
sveikas	гэй
kviečių	пшаніцу
kviečių	пшаніцы
virimo	гатуеце
titas	ціт
titas	ціта
grynas	чыстага
grynas	чыстыя
grynas	чысты
grynas	чыстае
ausys	вушы
ausys	вуха
badas	голад
būtinai	абсалютна
būtinai	абсалютная
būtinai	станецца
gyvuliai	жывёлаў
gyvuliai	жывёлы
gyvuliai	жывёл
gyvuliai	жывёлах
gyvuliai	чатырохногіх
gyvuliai	жывёла
ram	аператыўнай
ateitis	будучыня
ateitis	будучыню
ateitis	будучыні
parduodami	за
parduodami	прадалі
parduodami	прадаць
parduodami	прадаюцца
parduodami	прадаў
parduodami	прадавалі
parduodami	меў
procentas	людзей
krenta	ў
krenta	ігуазу
krenta	упадзе
krenta	ўпадзе
krenta	бяду
krenta	спакусу
debesis	клаўд
debesis	воблака
debesis	воблаку
laukinės	пустыні
struktūras	структур
dantis	зуб
kaklas	шыі
valdomi	атрымалася
įrodymas	вывадаў
gebėjimas	здольнасці
gebėjimas	магчымасць
gebėjimas	паверыць
gebėjimas	сілы
galingas	магутная
galingas	дужэйшы
galingas	магутны
vairuotojas	nvidia
ragai	рагоў
disciplina	пакараньне
disciplina	настаўленьня
disciplina	настаўленьне
disciplina	карай
turtus	багацьце
turtus	багацьця
išgirsti	чуеце
išgirsti	чуюць
baterijos	батарэя
protas	розум
protas	пра
atradimas	адкрыццё
pripažintos	пазналі
pripažintos	пазнаўшы
turtingas	багаты
turtingas	багатыя
turtingas	багацьце
turtingas	багатага
nuolatinio	стаялі
nuolatinio	стаяць
nuolatinio	стаіць
nuolatinio	стаяў
gyvybė	жыццё
gyvybė	жыцця
gyvybė	жыцьцё
gyvybė	душу
kapitalas	яго
kapitalas	капітал
kapitalas	сталіца
žaibas	бліскавіца
tradicijomis	традыцыі
arklius	коней
smurto	гвалт
smurto	гвалту
matuojamas	адмерана
matuojamas	абмераў
autobusas	аўтобус
baptistų	хрысьціцель
marta	марта
baimės	страх
baimės	бойцеся
baimės	не
baimės	страхам
baimės	страху
berniukai	хлопчыкі
atsakymas	адказаць
atsakymas	адказу
atsakymas	адказ
atsakymas	адказваеш
gamyklų	заводы
gamyklų	заводах
investicijos	інвестыцыі
turtų	багацьце
turtų	багацьця
stalas	стол
dragon	цмок
giminei	ганьбе
kardas	меч
kardas	мяча
kardas	мячом
gaidys	певень
lūpos	вуснаў
lūpos	вуснамі
lūpos	вусны
lūpos	вуснах
orai	надвор
moderni	сучаснай
kūriniams	працуе
kūriniams	справы
kūriniams	учынкаў
filadelfijos	філадэльфіі
skraidyti	лёталі
skraidyti	ляцеў
beach	пляжы
atsakyti	адказаць
atsakyti	адказу
atsakyti	адказ
atsakyti	адказваеш
evoliucija	эвалюцыі
gilus	ў
gilus	глыбокае
gilus	глыбокі
gilus	глыбокія
grace	ласка
grace	ласкі
grace	ласку
grace	ласцы
skaičiuoti	разлічваць
sveiki	прывітанне
daiktas	рэч
daiktas	што
žydas	юдэя
žydas	юдэем
smegenis	мозг
buvimas	прысутнасці
buvimas	перад
buvimas	аблічча
blogas	дрэнныя
geležis	жалеза
parduodama	за
parduodama	прадалі
parduodama	прадаць
parduodama	прадаюцца
parduodama	прадаў
parduodama	прадавалі
parduodama	меў
parduodama	перавярнуў
devyni	дзевяці
devyni	9
devyni	дзевяць
devyni	дзявятку
devyni	дзявяткі
administravimas	распарадкаваньне
administravimas	openvpn
preparatai	пасху
vynuogės	вінаград
vynuogės	вінаграду
parduotuvėse	магазіны
gimimas	нараджэння
gimimas	нараджэньня
gimimas	мукаў
gimimas	нараджае
gimimas	кульгавы
gražiai	прыемна
graži	прыгожыя
plokštumos	самалёт
dovana	падарункам
dovana	дару
dovana	дар
žudikas	чалавеказабойца
žudikas	забойца
įdomu	цікавае
įdomu	цікава
įdomu	цікавы
įdomu	цікавыя
įdomu	і
spaudimą	архіватар
linda	лінда
įtikinti	і
kančios	пакут
kančios	целе
kančios	і
kančios	прыгнёце
kančios	прыгнёт
bilietų	білет
reputaciją	рэпутацыю
atmestas	адрокся
galinga	абцяжэлі
galinga	магутная
galinga	дужэйшы
galinga	магутны
gebėjimą	здольнасці
gebėjimą	магчымасць
gebėjimą	паверыць
gebėjimą	сілы
sieti	навяжы
karšto	гарачы
stebi	тэлевізар
stebi	гледзячы
gražus	прыемна
vakaras	ўвечары
vakaras	вечар
vakaras	калі
vakaras	і
valanda	гадзіну
valanda	гадзіна
valanda	гадзіны
internetas	інтэрнэт
internetas	інтэрнэту
internetas	інтэрнэце
internetas	інтэрнэтам
internetas	internet
laimė	шчасце
unikali	адзінкавыя
užsieniečių	чужынцы
skrenda	лёталі
skrenda	ляцеў
supratimas	разуменне
supratimas	зразумець
supratimas	розумам
supratimas	розум
supratimas	разуменьне
statybininkų	будаўнікі
vidurys	сярэдзіне
vairuotojo	nvidia
vaikui	дзіця
vaikui	дзіцятка
dėžė	паказу
atliktų	грэх
atliktų	мелі
inžinieriai	інжынерных
karaliene	даму
karaliene	дамы
vėlai	позна
vėlai	спазніліся
ekspertai	экспертаў
ekspertai	законьнікі
lytis	сэксам
lytis	сэкс
lytis	полавыя
lytis	пол
amžinai	назаўсёды
amžinai	заўсёды
amžinai	вякі
išversti	пераклаў
šildymo	грэўся
žingsniai	крокі
ginčai	спрэчка
kilometrai	кіламетраў
jordanijos	ярдану
deimantų	званковага
deimantų	званковую
draugus	сяброў
draugus	сябры
draugus	сябрамі
eksperimentas	эксперымент
sutikimo	дазволу
sutikimo	згоды
kortelės	карта
kortelės	матывы
kortelės	карту
išdėstymas	дадаткаў
angelai	анёламі
angelai	анёлы
angelai	анёлаў
flash	flash
liežuvio	язык
liežuvio	языка
liežuvio	моваю
nesvarbu	што
nesvarbu	тое
pakviesta	запрасіла
pakviesta	запрасілі
pakviesta	запрасіў
pakviesta	прасіў
pakviesta	прыходзьце
pakviesta	запрошаныя
pakviesta	пакліканых
pakviesta	пакліканыя
filialai	галіны
ilgesnės	больш
ilgesnės	даўжэй
ispaniškai	іспанская
vaistas	медыцыны
vaistas	лекі
raitelis	кані
disciplinos	пакараньне
disciplinos	настаўленьня
disciplinos	настаўленьне
disciplinos	карай
avarija	аварыі
tiesus	проста
lizdas	стале
lizdas	поле
lizdas	месца
baterija	батарэя
puiki	вялікую
puiki	вялікі
gražuolė	прыгажосць
žyniai	сьвятарства
padangos	тыры
padangos	тыру
klientas	кліент
klientas	mpd
malda	малітва
malda	малітву
malda	малітве
malda	малітвах
malda	просьба
malda	малітвы
malda	прашу
malda	памаліўшыся
visko	усё
visko	ўсё
visko	ўсім
ubuntu	убунту
kortelė	карта
kortelė	матывы
kortelė	карту
meile	каханне
meile	любоў
meile	любіць
meile	любові
žaizdos	раны
inžinerija	інжынерных
ginčas	спрэчка
diagnostika	дыягназ
aprašymai	гісторыі
aprašymai	апавяданняў
ausis	вушы
ausis	вуха
eye	акуліста
eye	акуліст
eye	вока
eye	воку
eye	вушка
garbė	пашана
garbė	пашаны
garbė	пашану
garbė	шануй
garbė	славу
garbė	слава
garbė	і
garbė	слава
garbė	славы
garbė	славе
garbė	славу
dėvėti	апрануць
dėvėti	насіць
dėvėti	носіць
dėvėti	шаты
dėvėti	апрануцца
apsiginti	адказваць
išties	сапраўды
išties	вельмі
išties	насамрэч
atneša	прыносіць
atneša	скарбу
atneša	радасьць
nelaimės	няшчасьця
draugystė	сяброўства
vestuves	вясельле
finansinis	фінансавыя
patinka	любіць
plaukia	плавае
burna	рот
burna	вусны
burna	вуснаў
burna	вуснах
giminaičiai	сваякамі
giminaičiai	сваякоў
deguonis	кіслароду
projektavimas	дызайн
eksperimentai	эксперыментаў
eksperimentai	эксперыментах
lūpų	вуснаў
lūpų	вуснамі
lūpų	вусны
lūpų	вуснах
geresnis	лепш
geresnis	лепей
bilas	біл
moko	навучае
banda	чарада
banda	гурт
sėdi	сядзіць
sėdi	сядзела
sėdi	сядзяць
sėdi	сядзеў
sėdi	сядзіць
biblija	бібліі
absoliutus	абсалютная
ledi	пані
kornelijus	карнэль
pagarba	страхам
pagarba	пашану
šešėlis	цень
šešėlis	ценю
sėkla	насеньне
sėkla	ўпала
sėkla	зерне
sėkla	пасеянае
lempos	сьветач
atmeta	адкідае
siauros	вузкімі
siauros	цесную
bandymo	тэст
bandymo	спакушаючы
bandymo	спакусіць
blogis	зла
blogis	зло
blogis	благое
blogis	злога
frenkas	франк
tikėtis	ўявіць
tikėtis	што
tikėtis	чакалі
tikėtis	чакае
garsiai	голас
garsiai	голасам
eksperimentų	эксперыментаў
eksperimentų	эксперыментах
gavimo	атрымаць
gavimo	атрымалі
rimtas	сур
įdomus	цікавае
įdomus	цікава
įdomus	цікавы
įdomus	цікавыя
žvėris	зьвер
žvėris	зьверам
žvėris	зьверу
patogu	зручна
vertas	сумленныя
vertas	варты
vertas	годны
abraham	абрагам
abraham	абрагама
tamsi	цёмнай
tamsi	цёмная
tamsi	цёмны
tamsi	і
tamsi	цёмна
tamsi	цемры
atsiėmė	адыйшоў
naktys	начэй
maišto	раздражненьні
burton	бёртан
valtis	чаўне
valtis	чаўна
rimtų	сур
grožis	прыгажосць
dalintis	ў
dalintis	з
dalintis	падзяліцца
dalintis	частку
dalintis	радасьць
nubausti	пакараць
nubausti	пакараеш
myli	любіць
įsitikinęs	што
išradimas	вынаходка
karšta	гарачы
tamsus	цёмнай
tamsus	цёмная
tamsus	цёмны
tamsus	і
tamsus	цёмна
tamsus	цемры
kenčia	пакутаваць
kenčia	перацярпець
kenčia	цярпець
kenčia	за
kenčia	збаўленьня
tarnas	слуга
tarnas	слугу
tarnas	служыцелем
tarnas	слугі
ruonių	пячатку
derlius	плады
užsieniečiai	чужынцы
gintis	адказваць
ožkų	казлоў
mylėjo	і
mylėjo	любіла
mylėjo	любіў
mylėjo	палюбіў
aramėjų	гебрайскай
liepsnos	полымя
katastrofa	няшчасьця
gili	ў
gili	глыбокае
gili	глыбокі
gili	глыбокія
atsargiai	рабіце
bloga	дрэнныя
keista	дзіўна
keista	дзіўнае
keista	дзіўная
prieiga	праграмы
valgo	есьць
lovos	ложку
lovos	ложка
lovos	ложак
bobas	боб
pranašas	прарока
pranašas	прарок
purvo	балота
ištikimas	верным
ištikimas	верны
jungo	ярмо
žibintai	лямпы
žibintai	лямпаў
obuoliai	яблыкі
išmesti	і
išmesti	кінься
išmesti	ўкінуць
