अमोनिया	аміак
मेहमान	гостем
नियमन	постанова
नियमन	регулювання
जहर	отрути
जहर	отруту
जहर	отрута
मगरमच्छ	крокодил
गतिज	кінетична
तन	tan
तन	тан
तन	тань
यूटीसी	utc
वेनिस	венеція
वेनिस	венеції
खांसी	кашель
आईएसओ	iso
युगांडा	уганда
संख्याएँ	числа
संख्याएँ	номери
संख्याएँ	цифри
जब्त	схопив
सुगंध	ароматом
जस्टिन	джастін
सरकारें	уряди
ठेठ	типові
ठेठ	типова
ठेठ	типовий
फ़ोर्स	примусово
फ़ोर्स	примусити
फ़ोर्स	сила
फ़ोर्स	force
उलट	перевернута
मोरक्को	марокко
सुमात्रा	суматра
छड़ी	палицю
छड़ी	дотримуються
सीरम	сироватка
दाम	ціна
नहरें	канал
नहरें	річок
नहरें	річки
नहरें	ріки
हमलावर	нападників
हमलावर	атак
नॉर्मन	норман
सराहा	цінувати
सराहा	вдячністю
सराहा	оцінила
लैंडिंग	посадка
लैंडिंग	посадку
माँगा	манга
नाविक	моряк
नाविक	навігатор
स्थायित्व	витривалість
हावर्ड	говард
साम्यवाद	комунізм
साम्यवाद	комуністів
पैमाना	приціл
पैमाना	обсяг
पैमाना	масштаб
पैमाना	шкала
तंबाकू	тютюн
चिड़िया	птахи
चिड़िया	птаха
चिड़िया	пташка
चिड़िया	птах
पराग	пилок
सूर	сюр
उमा	ума
प्री	pre
प्री	пре
प्री	попередньо
मैथुन	грудьми
मैथुन	стать
मैथुन	секс
मैथुन	sex
ग्राफिक्स	графіки
ग्राफिक्स	графіка
ग्राफिक्स	графічні
ग्राफिक्स	графіку
संचारित	передати
संचारित	перенесення
संचारित	передачу
ताम्र	міді
ताम्र	мідь
योजनाएं	схем
योजनाएं	схеми
केल्विन	келвін
अनुपस्थित	відсутній
अनुपस्थित	відсутній
फाई	фі
मर्सिडीज	mercedes
मर्सिडीज	мерседес
कीटनाशक	пестициди
लार	слина
सुनहरे	блондинка
सुनहरे	білявка
आगंतुक	гостю
आगंतुक	гість
आगंतुक	відвідувач
आगंतुक	відвідувачі
आगंतुक	учасника
फ़ॉर्मूला	формула
चीज़ें	things
चीज़ें	речі
चीज़ें	речей
ग्राफिक	графіку
ग्राफिक	графічні
लूप	циклу
पेरी	пері
पेरी	перрі
फिल्माया	відзняли
सम्मिश्रण	змішування
चम्मच	ложка
दुकानें	магазинів
दुकानें	крамниці
दुकानें	магазини
दुकानें	магазини
विरोधाभास	парадокс
जैम	варення
जैम	jam
चेयरमैन	голова
चेयरमैन	головою
रिश्तेदार	відносно
रिश्तेदार	відносна
रिश्तेदार	відносний
रिश्तेदार	родичі
रिश्तेदार	рідня
कचरा	смітник
कचरा	викинути
कचरा	сміття
प्रतियोगियों	виборола
प्रतियोगियों	конкуренти
प्रतियोगियों	конкурентів
असिमोव	азімов
स्प्रिंग	весняна
स्प्रिंग	весна
स्प्रिंग	весняний
स्प्रिंग	весняні
पिज़्ज़ा	піца
जाली	ґратка
दैवी	oracle
दैवी	божественна
दैवी	служба
साइबर	кібер
ग़रीब	бідними
ग़रीब	бідна
ग़रीब	бідний
ग़रीब	бідні
छात्रवृत्ति	стипендію
विषैले	отруйні
लिखें	записати
लिखें	напишіть
लिखें	пишіть
लिखें	виписати
लिखें	написати
लिखें	написати
लिखें	спалити
लिखें	записати
लिखें	burn
देवों	девон
सोडा	сода
हुकूमत	царство
हुकूमत	kingdom
हुकूमत	королівство
हुकूमत	панування
डॉक्टरेट	докторський
विला	вілла
सटीकता	точність
कोला	кола
कोला	коломбо
कोला	кола
धमनियों	судини
प्रतिजन	антиген
अदालतों	суди
अदालतों	судів
चोंच	дзьоб
ग्राहम	грем
सर्वोपरि	paramount
प्लेटों	знаки
प्लेटों	тарілки
प्रमाणन	гаранта
प्रमाणन	посвідчення
प्रमाणन	сертифікації
खरीदी	платні
खरीदी	придбаний
खरीदी	купили
खरीदी	купила
खरीदी	купив
मिटा	стерти
मिटा	витерти
दुखी	нещасним
दुखी	сумно
दुखी	сумні
दुखी	сумний
न्यूट्रॉन	нейтронна
हारे	невдаха
निरीक्षक	чергова
निरीक्षक	інспектор
निरीक्षक	спостерігач
निरीक्षक	спостерігача
अल्फ़ा	alpha
अल्फ़ा	альфа
हैरिस	гарріс
हैरिस	харріс
गियर	спорядження
गियर	gear
राजतंत्र	монархія
अंडाकार	еліптичні
सर्कस	цирк
नवरात्रि	наваратрі
अल्बानिया	албанії
अल्बानिया	албанія
बादाम	мигдаль
कगार	прірви
प्राचल	параметр
कामकाज	функціонування
मिनेसोटा	міннесота
पृथक्करण	оброблених
अंडा	яйце
एलर्जी	алергія
माइक्रो	мікро
वर्दी	уніформа
वर्दी	форма
उत्कृष्टता	досконалості
उत्कृष्टता	досконалість
ताँबा	міді
ताँबा	мідь
ऐश	попіл
ऐश	ash
ऐश	аш
ऐश	еш
कैलोरी	калорій
कैलोरी	cal
ईमानदारी	чесність
ईमानदारी	серйозним
ईमानदारी	щирість
वृत्ताकार	круговий
वृत्ताकार	кругова
वृत्ताकार	круглий
वृत्ताकार	кругла
निर्वासित	злочинного
सरस	соковита
स्ट्रिंग	рядок
स्फटिक	кварц
बुनाई	злиття
बुनाई	відкатів
बुनाई	плетіння
विवाहित	одружені
विवाहित	заміжня
विवाहित	одружена
विवाहित	заміж
विवाहित	одружений
आभा	аура
बॉन	бонн
बॉन	бон
पाँव	ногами
पाँव	ноги
पाँव	стопи
पाँव	футів
द्वेष	ненависть
द्वेष	malice
रेखांकित	підкреслено
रेखांकित	підкреслення
रेखांकित	підкреслити
कॉलम	колонка
कॉलम	стовпчик
कॉलम	колона
कॉलम	стовпчиками
कॉलम	колонки
कॉलम	стовпчиків
कॉलम	стовпчики
समस्थानिक	ізотопів
कहावत	dictum
कहावत	максим
कहावत	maxim
कहावत	максім
कहावत	приказка
टेड	ted
टेड	тед
समष्टि	простору
समष्टि	пробіл
समष्टि	простір
समुद्रतल	дно
दुर्घटनाओं	нещасні
शायरी	поезія
टेलीग्राफ	telegraph
प्रत्याशी	кандидат
आवेग	імпульсу
आवेग	імпульс
नक्षत्रों	накшатра
बर्नार्ड	бернард
बर्नार्ड	бернар
बर्नार्ड	барнард
अध्यात्म	духовність
एमिनेम	eminem
सुनी	слухав
सुनी	послухав
सुनी	слухала
किशोरों	підлітки
धर्मार्थ	благодійна
धर्मार्थ	благодійний
धर्मार्थ	благодійність
डेव	дейв
पारा	меркурій
पारा	para
धोखे	обманом
हार्ले	харлі
पेंट	paint
पेंट	фарба
पेंट	малювати
पेंट	фарби
निदेशालय	директорія
सोन	сина
सोन	сину
सोन	син
नीलामी	аукціон
नीलामी	торги
पट्टे	лізинг
पट्टे	лізинг
पट्टे	ліз
नाटो	нато
ब्रह्मचर्य	доброчесність
ब्रह्मचर्य	целібат
ग्लेन	глен
ग्लेन	гленн
विरल	рідкісна
विरल	рідкісні
विरल	рідкісний
विरल	рідкість
विरल	рідкісне
पिया	випив
पिया	випили
पिया	пив
आयामी	невичерпне
काव्यशास्त्र	поетика
पोर्टफोलियो	портфоліо
नवाचार	нововведення
नवाचार	інновації
डायमंड	diamond
डायमंड	діамант
महंगी	дорого
फ्रायड	фрейд
तर्कसंगत	раціональна
तर्कसंगत	раціональну
पीना	пили
पीना	пити
पीना	пиття
पीना	алкогольні
पीना	напої
पीना	пити
पीना	напій
स्ट्रिप	стрічки
संलयन	fusion
संलयन	злиття
संलयन	синтез
अब्दुल्ला	абдулла
वर्जिन	діва
वर्जिन	богородиці
डेप	депп
चक्रों	чакра
मुहाफ़ज़ाह	губернія
प्रोसेसिंग	опрацювання
प्रोसेसिंग	обробки
प्रोसेसिंग	обробку
प्रोसेसिंग	обробка
अवस्थिति	розміщення
अवस्थिति	розташування
अवस्थिति	розміщення
अवस्थिति	місцезнаходження
अवस्थिति	локація
अवस्थिति	місце
अवस्थिति	розташування
अवस्थिति	розташування
अवस्थिति	адреси
अवस्थिति	місця
अवस्थिति	адрес
वार्मिंग	потепління
वार्मिंग	гріє
मार्गदर्शक	посібник
मार्गदर्शक	провідник
मार्गदर्शक	путівник
मार्गदर्शक	гід
विभिन्नता	варіант
विभिन्नता	варіація
ढोल	барабан
क्वार्क	quark
अवकल	диференціальна
राजसी	поважний
राजसी	regal
टिकाऊ	сталий
जबरदस्त	неймовірне
क्रोमियम	хром
कूप	кубок
कूप	coupe
कीन	кін
स्टेनली	стенлі
सिन्ध	сінд
लेखनी	перо
लेखनी	ручка
अखबारों	газетах
अखबारों	газети
सोल	соль
सोल	sol
किक	викинути
आयोडाइड	йодид
धड़कन	били
धड़कन	біт
धड़कन	побили
धड़कन	виправить
धड़कन	серцебиття
धड़कन	бити
छल्ले	кільця
छल्ले	обручки
क्रेन	журавель
क्रेन	кран
आखरी	останній
आखरी	остання
आखरी	останнє
क्षेत्ररक्षण	капітан
क्षेत्ररक्षण	філдінг
लिली	лілі
लिली	ліллі
लिली	лілі
लिली	лілія
बेली	бейлі
बेली	живота
बेली	животі
ग्रहीय	планетарна
मॉनिटर	спостереження
मॉनिटर	спостерігати
मॉनिटर	варан
मॉनिटर	монітор
कोक	кока
कोक	кокс
कोक	кола
कोक	колу
मेलबोर्न	мельбурн
करुणा	доброти
करुणा	доброта
करुणा	доброту
मुठभेड़	зустріч
अकसर	часто
मशरूम	гриби
मशरूम	гриб
मशरूम	гриби
शांतिपूर्ण	спокійна
शांतिपूर्ण	мирного
शांतिपूर्ण	мирний
फ्लू	грип
फ्लू	грипу
नरक	hell
नरक	пекло
नरक	чорти
ट्री	дерево
ट्री	ялинки
बेलन	циліндр
बोलना	говорячи
बोलना	speaking
अवरोधित	заблоковано
अवरोधित	заблокували
अवरोधित	заблоковані
आत्मविश्वास	впевнено
आत्मविश्वास	довіра
आत्मविश्वास	впевненість
कुपोषण	недоїдання
लापता	відсутній
कंटेनर	контейнер
राई	rai
दुश्मनों	ворогів
दुश्मनों	вороги
वाइड	широкий
वाइड	широка
फर्नीचर	меблі
वारिस	заразом
वारिस	спадкоємець
वारिस	нащадок
वारिस	нащадків
परिवर्तनशील	змінну
परिवर्तनशील	змінної
परिवर्तनशील	змінна
मच्छर	комар
मच्छर	комарів
अनजान	невідомий
अनजान	невідомо
अनजान	невідома
अनजान	невідомі
अनजान	невідоме
ग्रांट	грант
ग्रांट	надати
मैग्नीशियम	магній
सनी	сонячний
सनी	сонячно
प्लेटफॉर्म	платформи
प्लेटफॉर्म	платформу
प्लेटफॉर्म	платформа
घुस	проникати
भावुक	зворушений
भावुक	емоційні
भावुक	емоційний
भावुक	sentimental
कैन	кейн
कैन	канни
घोटाला	скандал
घोटाला	шахрайство
रक्षात्मक	захисний
मिस्री	єгипетський
मिस्री	єгипетська
चार्टर्ड	присяжних
ईर्ष्या	заздрить
ईर्ष्या	заздрість
ईर्ष्या	ревнощів
मेडल	медаль
समरूप	однорідна
गायों	корови
जैज़	джаз
जैज़	jazz
जैज़	джазу
गायकों	співаки
गायकों	спів
गायकों	співати
गायकों	співає
ओक	дуб
बैच	пакетного
किनारा	межі
किनारा	кордони
किनारा	ребро
किनारा	край
किनारा	ребра
किनारा	edge
किनारा	рамки
किनारा	обрамлення
किनारा	межа
किनारा	кордон
किनारा	рамка
किनारा	боки
किनारा	сторони
किनारा	сторін
फ्रेड	фред
बुर्ज	вежа
बुर्ज	tower
बुर्ज	башта
बुर्ज	pinnacle
वुड	вуд
वुड	деревина
वुड	лісова
बंदरगाहों	пор
बंदरगाहों	порт
अलेक्जेंडर	олександр
अलेक्जेंडर	александер
परिमित	скінченна
वर्षगांठ	ювілеї
वर्षगांठ	річниця
वर्षगांठ	ювілей
क्योटो	кіото
मटर	запашна
आर्किटेक्चर	архітектура
फैक्ट्री	фабрика
वॉर्स	війн
वॉर्स	війни
ओंटारियो	онтаріо
वायरल	вірусний
एडवेंचर	пригодницький
एडवेंचर	adventure
एडवेंचर	пригоди
एडवेंचर	пригода
अनुग्रह	благодать
अनुग्रह	милість
स्टीवर्ट	стюарт
गिल्ड	цех
गिल्ड	гільдії
डेविडसन	девідсон
घंटी	дзвінка
घंटी	bell
घंटी	белл
घंटी	дзвін
घंटी	дзвінок
कूपर	купер
दोहन	освоїти
कैरोलिना	кароліна
प्लान	плануємо
प्लान	спланувати
प्लान	планувати
प्लान	план
विदा	віда
विदा	vida
मिर्जा	мірза
माफी	вибачитися
माफी	вибачатися
माफी	вибачитись
माफी	прощення
अबुल	абул
व्लादिमीर	володимир
व्लादिमीर	владимир
व्लादिमीर	владімір
प्रणाम	побажання
दौलत	багатства
दौलत	багатство
कोचीन	коті
बर्गर	burger
बेहोश	підсвідомості
बेहोश	знепритомнів
वर्ड	словом
वर्ड	слово
प्रभार	заряд
म्यांमार	бірмі
मार्गरेट	маргарет
मार्गरेट	маргарита
जुलूस	ряди
बांसुरी	флейта
दिशानिर्देश	напрямки
दिशानिर्देश	вказівки
माननीय	вельмишановний
बधाई	вітаємо
बधाई	вітання
बधाई	маші
सत्तर	сімдесят
हॉस्पिटल	лікарня
हॉस्पिटल	шпиталь
प्रांगण	приміщення
प्रांगण	дворі
त्यागपत्र	звільнення
फास्फेट	амонію
नीलम	сапфір
जलसन्धि	протока
उठी	виховали
उठी	виростили
उठी	карпатські
उठी	підняли
पोर्टेबल	портативний
स्विंग	swing
मर्फी	мерфі
जेड	jade
हार्बर	бухта
हार्बर	бухті
हार्बर	гавань
सत्कार	поповнився
सत्कार	задоволена
टिप्पणियाँ	коментарях
टिप्पणियाँ	коментарів
टिप्पणियाँ	коментарі
प्रिंटर	принтера
प्रिंटर	принтері
प्रिंटर	принтер
प्रिंटर	принтери
प्रिंटर	принтерів
सिनसिनाटी	цинциннаті
गिरी	упав
गिरी	впала
गिरी	впав
फुल	повна
फुल	повний
फुल	повне
जागरूक	уважні
जागरूक	відомо
जागरूक	усвідомлює
अनिश्चितता	невизначеність
अस्सी	вісімдесят
आंद्रे	андре
अनोखी	надзвичайне
पापुआ	папуа
सीआईडी	cid
विषयवस्तु	контент
विषयवस्तु	вміст
विषयवस्तु	зміст
विषयवस्तु	матеріали
विषयवस्तु	теми
विषयवस्तु	тем
विषयवस्तु	вміст
विषयवस्तु	зміст
सूरीनाम	суринаму
गिरि	гірі
फोर्ब्स	forbes
एजेंटों	агенти
प्रेमियों	коханих
प्रेमियों	коханці
प्रेमियों	закоханих
आनुवंशिकी	генетика
हथेली	palm
दाग	пляма
दाग	пляму
अज़ाब	посуху
अज़ाब	дум
अज़ाब	горою
अज़ाब	смерть
अज़ाब	занепад
अज़ाब	загибель
मंचन	клав
बटालियन	батальйон
खिलजी	хілджі
रिक	рік
बर्मिंघम	birmingham
गुस्से	злість
गुस्से	гнів
आर्यन	арії
ढलान	схил
ढलान	схилу
लगन	рішучість
चाकू	ніж
परिवर्तनीय	змінну
परिवर्तनीय	змінної
परिवर्तनीय	змінна
परिवर्तनीय	змінні
निर्दोष	невинних
निर्दोष	невинні
निर्दोष	невинний
महायान	махаяна
लीबिया	лівії
उज़बेक	узбецька
पिछला	попереднє
पिछला	попередній
पिछला	попередня
पिछला	останній
पिछला	остання
पिछला	останнє
पिछला	попереднє
पिछला	попередні
पिछला	попередній
पिछला	попередня
झुंड	стадо
प्रसाधन	туалет
प्रसाधन	унітаз
प्रसाधन	виконавців
प्रसाधन	виконавці
प्रसाधन	ресурси
ईमानदार	щиро
ईमानदार	щира
ईमानदार	відвертий
ईमानदार	чесне
ईमानदार	чесна
ईमानदार	чесний
ईमानदार	щире
ईमानदार	сумлінне
जोस	хосе
जोस	жозе
जोस	хосе
मल्टी	multi
चंदन	сандалі
अंकीय	цифру
अंकीय	цифра
अंकीय	числове
अंकीय	цифрову
असेम्बली	зборів
असेम्बली	збори
भिक्षुओं	монахи
लड़ी	нитки
लड़ी	гілка
कानों	вуха
चांसलर	канцлер
अहसास	почуття
अहसास	відчуття
अहसास	передчуття
चक्रीय	циклічний
अस्थाई	тимчасове
अस्थाई	тимчасові
अस्थाई	тимчасова
अस्थाई	тимчасово
अस्थाई	тимчасовий
तैमूर	тимур
तबाह	руїни
योद्धाओं	воїни
कलाकृति	шедевр
कलाकृति	графіка
कलाकृति	малюнки
नाइजीरिया	нігерія
नाइजीरिया	нігерії
मिसिसिपी	міссісіпі
थ्रिलर	трилер
बेलनाकार	циліндричне
संयोजक	convenor
अंतरजाल	інтернет
रहो	залишитися
रहो	залишатися
रहो	stay
ट्रैकिंग	стеження
अब्बास	аббас
गिद्ध	гриф
पोस्टर	плакат
पोस्टर	постер
पोस्टर	постери
छात्रावास	гуртожиток
वंशजों	нащадки
रंजक	пігмент
उंगलियों	пальцями
उंगलियों	пальці
चॉकलेट	цукерок
चॉकलेट	шоколад
राइफल	гвинтівки
राइफल	гвинтівка
मेक	make
मेक	зробити
बल्ले	bat
स्थलाकृति	топографія
उछाल	пружні
सुन्दरता	краса
जबड़े	щелепи
सर्वनाम	займенник
शेल	оболонка
शेल	оболонки
शेल	патрони
शेल	оболонки
शेल	мушлі
सू	засудити
सू	sioux
सू	су
रसोई	кухні
रसोई	кухня
रसोई	кухню
वाक	мовлення
वाक	промову
चिकित्सालय	лікарня
चिकित्सालय	шпиталь
फंस	пастці
फंस	приречений
चट्टानें	панелі
चट्टानें	камені
चट्टानें	скелі
चट्टानें	астероїди
चट्टानें	каміння
चट्टानें	скелях
तीतर	barbara
चतुर	влучно
चतुर	розумний
चतुर	розумна
चतुर	розумні
चतुर	розумно
चतुर	вважав
अस्वीकृत	засуджувала
अस्वीकृत	відмовлено
अस्वीकृत	заборонено
अस्वीकृत	відмовились
अस्वीकृत	відмовилися
अस्वीकृत	відхилено
अस्वीकृत	відхилити
अस्वीकृत	відкинуто
अस्वीकृत	відмовив
अस्वीकृत	відхилено
अस्वीकृत	випускають
अस्वीकृत	відкинути
अस्वीकृत	відмовити
अस्वीकृत	відхилити
सजातीय	однорідна
परिवर्तक	перетворювач
किराया	тариф
किराया	фар
किराया	оренду
खिलौने	іграшки
महीना	місяця
महीना	місяць
रिपोर्टिंग	звітності
रिपोर्टिंग	звітування
नैनो	нано
चुनावी	колегія
चुनावी	виборчий
प्लेग	зараза
प्लेग	чума
अज्ञान	невігластво
अज्ञान	незнання
आर्द्र	вологого
नबी	пророк
हेल	гель
परी	фея
परी	пар
परी	янгол
परी	ангел
कीचड़	бруд
न्यूर्क	ньюарк
छुपा	приховані
छुपा	приховано
छुपा	сховані
छुपा	прихований
छुपा	сховати
छुपा	приховати
छुपा	ховати
डिफ़ॉल्ट	типові
डिफ़ॉल्ट	типова
डिफ़ॉल्ट	типовий
ड्राफ्ट	чернетку
ड्राफ्ट	чернетка
ड्राफ्ट	чернетки
राइस	рис
राइस	рису
मात	маат
रेफरी	арбітр
रेफरी	рефері
साहसी	сміливий
साहसी	мужнім
ताज़ा	свіжі
ताज़ा	свіже
ताज़ा	свіжа
ताज़ा	свіжий
ताज़ा	оновлення
उपेक्षित	ігнорується
ज़िंदगी	життя
ज़िंदगी	лайф
दरें	курси
दरें	швидкостей
पेशेवरों	спеціалістів
पेशेवरों	професіонали
श्वार्ज़नेगर	шварценеггер
धूमकेतु	комета
कॉनकॉर्ड	конкорд
मिश्रधातु	сплави
आइटम	елементів
आइटम	пункти
आइटम	елементи
आइटम	елемент
क्षणिक	прозорим
क्षणिक	перехідний
वेदना	меланхолії
दुर्गम	кипить
जीमेल	gmail
विचलित	розриває
फॉर्मेट	формат
फॉर्मेट	форматування
फेस	обличчя
फेस	обличчям
फेस	face
कस्तूरी	маск
पांव	ногами
पांव	ноги
पांव	стопи
पांव	футів
छड़	палички
मीट्रिक	показників
मीट्रिक	метрика
बांग्लादेशी	бангладеш
डिज़ाइनर	designer
डिज़ाइनर	дизайнер
डिज़ाइनर	дизайнера
क्रीड़ा	спорт
क्रीड़ा	спортивні
क्रीड़ा	спорту
एकाग्रता	спеціальність
एकाग्रता	спеціальність
एकाग्रता	концентрація
ईकाई	юніт
ईकाई	одиниці
ईकाई	одиниця
भतीजे	племінник
भतीजे	племінники
विधिवत	розпоряджень
कुंभ	водолій
संभाव्यता	ймовірність
अपर	вгорі
अपर	верхня
अपर	верхні
अपर	верхній
मेरिल	меррілл
स्तनधारियों	ссавців
संकेतक	курсор
संकेतक	вказівник
स्पष्टता	ясність
बेंज	benz
तंजानिया	танзанії
गोल्डबर्ग	голдберг
एडी	едді
नहरों	канал
नहरों	канали
पिस्तौल	пістолет
विभेदन	resolution
गुफाएं	печер
गुफाएं	печери
सूक्ष्मजैविकी	мікробіологія
उज़्बेकिस्तान	узбекистан
उज़्बेकिस्तान	узбекистану
सीरियल	нігерія
सीरियल	нігерії
सीरियल	послідовний
सीरियल	серійний
सीरियल	алжиру
सीरियल	алжир
रिवर्स	зворотний
कार्यपालिका	виконавчий
कास्ट	зіграла
झटका	шок
कैदी	затримані
कैदी	полонених
साओ	цао
साओ	sao
विंडो	вікно
खोने	втрати
खोने	втрачаємо
खोने	програш
कैश	кеш
कैश	кешу
लिप्यन्तरण	транслітерація
केंट	кент
लोधी	лоді
इराकी	іракський
इराकी	ірак
इराकी	іраку
अराजकता	анархія
अराजकता	хаос
मेटा	мета
सिग्मा	sigma
पाला	пала
आजीविका	кар
फायदे	переваги
फायदे	вигоди
गूढ़	езотеричні
गिरवी	пішак
बार्कलेज	barclays
नवीकरण	реконструкція
नाममात्र	номінальна
मल्टीमीडिया	творів
मल्टीमीडिया	мультимедіа
ग्लेशियर	льодовик
ग्लेशियर	льодовики
निरोध	презерватив
प्रतिबंधों	санкції
मैराथन	марафон
पोटेशियम	калію
लारा	лара
थर्मल	термальні
झाड़ी	кущ
डेविल	диявол
डेविल	біс
कक्षीय	орбіталь
अधूरा	неповна
अधूरा	незавершений
अधूरा	неповним
स्क्रीनिंग	оголошено
युवती	діва
सर्वसम्मति	консенсусу
टर्बाइन	турбіна
कार्यशील	виконання
कार्यशील	виконується
कार्यशील	працює
कार्यशील	біг
किंवदंती	легенду
किंवदंती	легенда
छलांग	стрибок
लाओस	лаосу
साइप्रस	кіпр
साइप्रस	кіпрі
साइप्रस	кіпру
स्वायत्तता	автономія
गाढ़ा	жирний
गाढ़ा	жирним
एंथोनी	ентоні
एंथोनी	антоні
बाग़	арля
कुण्डली	гороскоп
बीयर	пиво
ड्राइविंग	їхали
ड्राइविंग	водіння
वेनेजुएला	венесуели
जीनों	гени
बोनस	бонус
बोनस	бонуси
जलाकर	літ
ज्या	синус
थाना	тюрма
थाना	тюрми
झूठे	брехун
अस्थियों	кістки
अस्थियों	кісточки
पिक्सेल	пікселів
पिक्सेल	пікселі
पिक्सेल	пікселів
पिक्सेल	піксель
लॉयड	ллойд
ब्रेट	бретт
हीट	теплом
हीट	спека
क्राय	край
सुनहरा	золотий
सुनहरा	голден
सुनहरा	золоті
सुनहरा	золоте
सुनहरा	золота
सुनहरा	gold
सुनहरा	золоті
सुनहरा	золото
नमाज़	салах
नमाज़	молитва
कर्कट	рак
यक्ष	якша
शौचालय	туалет
शौचालय	унітаз
पर्सनल	особисті
पर्सनल	особисте
पर्सनल	особистий
पर्सनल	персональний
पहिया	кермо
पहिया	колесо
पहिया	шина
पहिया	колесо
मेगाडेथ	megadeth
लोकल	локальні
लोकल	місцеві
लोकल	локальна
लोकल	локальний
लोकल	місцевий
पुनरुद्धार	відновлення
पुनरुद्धार	реставрація
पुनरुद्धार	відродження
मस्जिदों	мечеть
विकासवादी	еволюційна
डेयरी	молочні
प्रतिरूपण	клонування
बाय	поки
बाय	бувай
जावास्क्रिप्ट	javascript
गेल	гела
गेल	гейл
छू	дотик
छू	торкнеться
छू	торкається
छू	туш
पंक्तियाँ	рядками
पंक्तियाँ	рядків
पंक्तियाँ	черевички
पंक्तियाँ	рядки
पंक्तियाँ	лінії
पंक्तियाँ	рядками
पंक्तियाँ	рядків
पंक्तियाँ	лініями
पंक्तियाँ	рядки
पंक्तियाँ	тримається
हाइकु	хайку
पाण्डव	пандави
ट्रेक	переселення
जेफ	джефф
मददगार	помічник
वर्णनात्मक	зрозумілу
मद	елементів
मद	пункти
मद	елементи
मद	елемент
मिशनरी	місіонерська
बियोवुल्फ़	beowulf
पिताजी	тато
पिताजी	тато
मोल	молл
संधारित्र	конденсатор
सबवे	метрополітен
वू	ву
चोटियों	вершин
चोटियों	вершини
पुनर्जन्म	реінкарнація
पर्यायवाची	синонім
रनर	runner
रनर	біг
जेसन	джейсон
जेसन	ясон
घेराबंदी	облога
क्रोएशिया	хорватія
क्रोएशिया	хорватії
आरा	ара
कल्याणकारी	причинами
कल्याणकारी	причини
सेटिंग	встановлення
सेटिंग	налаштуваннях
सेटिंग	налаштування
सेटिंग	параметри
टीपू	тіпу
नीरो	nero
उस्मानी	турецький
ग्लासगो	glasgow
आंखें	очі
आंखें	очей
आंखें	очам
परिसंचरण	гостра
परिसंचरण	обіг
ताश	карт
ताश	карти
ताश	карток
ताश	картки
सजावटी	декоративна
सजावटी	декоративний
प्रेषण	перенесення
प्रेषण	відійти
प्रेषण	випуск
एमिली	емілі
शील	скромність
शील	коб
लिथियम	літію
बॉयल	бойл
पालक	шпинату
पालक	шпинат
फैमिली	сімейство
फैमिली	сімейний
फैमिली	сімейні
फैमिली	родина
बॉक्सिंग	бокс
हिरन	олень
हिरन	олені
हिरन	оленя
धारकों	кавалера
चैपल	каплиця
होंडा	honda
ज्योतिषी	нічному
मध्यस्थ	медіатор
अभिभावक	батьки
अभिभावक	батьківські
अभिभावक	батьки
अभिभावक	батьківського
अभिभावक	батьківський
नाराज	кричати
फ्लैट	рівна
टेन	tan
टेन	тан
टेन	тань
टेन	десять
टेन	десятка
टेन	десяти
टेन	тен
शील्ड	щит
चीड़	сосна
आइवी	плющ
गार्डनर	гарднер
तोड़कर	порушення
चुंबक	магніт
मॉन्ट्रियल	монреаль
अठारहवीं	вісімнадцята
हेलो	halo
कविताएं	вірші
कोका	кокаїн
कोका	кока
रॉड	род
निरस्त	скасувати
बुद्धिमत्ता	інтелект
बुद्धिमत्ता	розвідка
बुद्धिमत्ता	мудрості
बुद्धिमत्ता	мудрість
एसिटिक	оцтова
नर्स	медсестри
नर्स	медсестра
उठती	пробудження
उठती	rising
उठती	піднімається
इकट्ठे	панорамних
मुड़	twisted
पकड़कर	тримала
पकड़कर	плакатами
नार्वे	норвегії
नार्वे	норвегія
धैर्य	терпіння
धैर्य	витривалість
फट	широкі
उत्पादकों	продюсери
उत्पादकों	виробники
त्रिनिदाद	тринідад
मौतों	померли
मौतों	смертей
निराकरण	вирішують
निराकरण	вирішити
बकाया	визначні
बकाया	видатним
सुपरहीरो	супергерой
कोल्ड	холодні
कोल्ड	холодна
कोल्ड	холод
कोल्ड	холодно
कोल्ड	холодний
संयोजी	сполучна
कै	кай
प्रकार्य	функція
प्रकार्य	функцію
प्रकार्य	функції
शरणार्थी	біженців
शरणार्थी	біженців
गुंजाइश	приціл
गुंजाइश	обсяг
देय	заборгованість
धीमे	повільно
धीमे	повільні
धीमे	повільний
धीमे	повільно
दानों	висип
दानों	передчасно
अवांछित	непотрібних
समोआ	самоа
लोदी	лоді
सममिति	симетрія
अनमोल	дорогоцінний
अनमोल	дорогоцінні
कैस्पियन	каспійський
कक्षों	покоях
स्पार्टा	спарта
रिमोट	віддалений
रिमोट	пульт
रिमोट	віддалене
आत्माओं	колорит
आत्माओं	дух
आत्माओं	spirit
आत्माओं	духи
आत्माओं	духів
खुशबू	запах
खुशबू	аромат
खुशबू	запаху
खुशबू	ароматом
कस्बों	містами
त्रिशूल	trident
इनाम	премія
इनाम	призи
जिन्दगी	життя
जिन्दगी	лайф
गरमी	теплом
गरमी	спека
नोड	вузол
नोड	вузлів
नोड	вузли
असंगत	несумісні
जीरा	кмин
पूर्वाग्रह	упередження
पूर्वाग्रह	упередження
